deviceUid,serialNumber,systemManufacturer,systemModel,username,lastUpdatedDateTimeUtc,platformOSType,deviceName,domain,localIp,cpu,bios,latitude,longitude,antivirus,RAMDisponible,RAM,Disco
a8842d0e-419f-4005-b6fe-88db75c7d45d,5CD401CJPK,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\jesus.cueva,2024-11-30T16:21:32.883Z,Windows,MDH5CD401CJPK-A,aruntnet.local,172.16.25.150,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0213883,-76.9615118,Sophos Endpoint Agent 2024.2.4.1.0,2968.828125,16 GB,512 GB
95b72c63-5add-49da-b915-05ec11ea15f7,5CD401CJNN,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\martin.rosales,2024-12-20T13:49:33.754Z,Windows,MDH5CD401CJNN-A,aruntnet.local,172.16.25.94,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0213763,-76.9615134,Sophos Endpoint Agent 2024.2.4.1.0,4738.2734375,16 GB,512 GB
e020c814-e019-45be-a9b5-1bef37d2074f,5CD401CJPY,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\gian.vega,2024-12-20T15:07:34.183Z,Windows,MDH5CD401CJPY-A,aruntnet.local,172.16.24.145,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0214088,-76.9614229,Sophos Endpoint Agent 2024.2.4.1.0,4097.921875,16 GB,512 GB
2142fe81-5e5f-4af7-91bc-9247e5a39e39,5CD401CJQ0,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\ralcala,2024-12-20T18:38:00.405Z,Windows,MDH5CD401CJQ0,aruntnet.local,172.16.25.122,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0214583,-76.9615294,Sophos Endpoint Agent 2024.2.4.1.0,4173.265625,16 GB,512 GB
85883d98-41b0-43b1-a042-b0166148a7ec,5CD401CJPP,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,DESKTOP-SHIZUKO\laptop,2024-09-28T17:11:39.592Z,Windows,DESKTOP-SHIZUKO,WORKGROUP,192.168.146.79,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.05.05 ,-8.4052621,-74.5614986,AVG Antivirus 21.4.6162.0,8944.07421875,16 GB,512 GB
6174c5cc-8bbe-4fb1-9e5c-3ae8232e8a5b,5CD3252VZH,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\ayleen.jimenez,2024-12-20T19:54:30.312Z,Windows,MDH5CD3252VZH-A,aruntnet.local,172.16.25.211,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0214687,-76.9615278,Sophos Endpoint Agent 2024.2.4.1.0,1875.87890625,16 GB,512 GB
287d2a0d-4d02-4b17-b6a2-4f6c706ddbd0,5CD401CJQB,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\debbie.curi,2024-12-20T19:22:49.263Z,Windows,MDH5CD401CJQB-A,aruntnet.local,172.16.24.247,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0214658,-76.9615412,Sophos Endpoint Agent 2024.2.4.1.0,1801.94921875,16 GB,512 GB
b403b963-351a-4865-b0c9-f8bce29691f6,5CD401CJQM,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\antony.huayanay,2024-12-20T15:43:31.900Z,Windows,MDH5CD401CJQM-A,aruntnet.local,172.16.25.130,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.021463,-76.9615381,Sophos Endpoint Agent 2024.2.4.1.0,3982.6484375,16 GB,512 GB
1d218f9b-b0d3-40c0-83e0-5b19e0b85f6f,5CD3252WB5,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\lizeth.arias,2024-12-20T16:44:40.492Z,Windows,MDH5CD3252WB5,aruntnet.local,192.168.1.197,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-10.4045545,-77.3983949,Sophos Endpoint Agent 2024.2.4.1.0,4836.0234375,16 GB,512 GB
d908a063-8f5b-4ffc-93c2-6ba296993620,5CD401CJPB,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\estrella.jordan,2024-12-20T17:28:34.697Z,Windows,MDH5CD401CJPB-A,aruntnet.local,192.168.1.82,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-10.404538,-77.3984107,Sophos Endpoint Agent 2024.2.4.1.0,2610.82421875,16 GB,512 GB
dd6c149c-95b1-4532-b4ff-c37c34cabace,5CD401CJP3,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\luis.prado,2024-12-20T16:47:31.931Z,Windows,MDH5CD401CJP3-A,aruntnet.local,192.168.52.124,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-6.3513107,-79.1267751,Sophos Endpoint Agent 2024.2.4.1.0,1820.875,16 GB,512 GB
7c4d36f9-0734-4da2-bdf0-e8abb62b9b2b,5CD401CJNZ,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\daniel.gutierrez,2024-12-20T17:54:30.622Z,Windows,MDH5CD401CJNZ-A,aruntnet.local,192.168.1.52,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0613104,-76.9350316,Sophos Endpoint Agent 2024.2.4.1.0,3553.03125,16 GB,512 GB
